Title	Original Title	Type	Release year	Rating	Watch date	Comments	
The Fault in Our Stars		Film	2014	2	01/01/2017		
A walk to Remember		Film	2002	3	01/01/2017		
Madagascar		Film	2005	4	02/01/2017		
Madagascar: Escape 2 Africa		Film	2008	4	03/01/2017		
Madagascar 3: Europe's Most Wanted		Film	2012	4	04/01/2017		
Puss in Boots		Film	2011	3	05/01/2017		
Shrek		Film	2001	4	06/01/2017		
Shrek 2		Film	2004	4	07/01/2017		
Shrek the Third		Film	2007	4	08/01/2017		
Shrek Forever After		Film	2010	4	08/01/2017		
One Flew Over the Cuckoo's Nest		Film	1975	3	09/01/2017		
Life Is Beautiful		Film	1997	4	10/01/2017		
Moulin Rouge!		Film	2001	2	11/01/2017		
The Intouchables		Film	2011	2	12/01/2017		
Penguins of Madagascar		Film	2014	4	13/01/2017		
Chicken Run		Film	2000	3	14/01/2017		
I Served the King of England		Film	2006	4	15/01/2017		
I Smile Back		Film	2015	2	16/01/2017		
Howl's Moving Castle		Film	2004	3	16/01/2017		
Laputa: Castle in the Sky	Tenkû no shiro Rapyuta	Anime Film	1986	3	17/01/2017		
Fight Club		Film	1999	2	18/01/2017		
Moonrise Kingdom		Film	2012	3	19/01/2017		
Before Night Falls		Film	2000	2	20/01/2017		
Salvation Army		Film	2013	2	21/01/2017		
Orphan		Film	2009	3	22/01/2017		
Serial Bad Weddings		Film	2014	4	23/01/2017		
The Garden Of Words		Film	2013	1	24/01/2017		
Spirited Away		Film	2001	3	24/01/2017		
From Up on Poppy Hill		Film	2011	2	25/01/2017		
Shelter		Film	2007	4	26/01/2017		
Tales From Earthsea		Film	2006	1	27/01/2017		
Zhong Kui: Snow Girl and the Dark Crystal		Film	2015	2	28/01/2017		
Pan's Labyrinth		Film	2006	3	29/01/2017		
Lucy		Film	2014	4	30/01/2017		
Pirates of the Caribbean: The Curse of the Black Pearl		Film	2003	4	31/01/2017		
Pirates of the Caribbean: Dead Man's Chest		Film	2006	4	01/02/2017		
Pirates of the Caribbean: At World's End		Film	2007	4	01/02/2017		
Pirates of the Caribbean: On Stranger Tides		Film	2011	4	02/02/2017		
Pirates of the Caribbean\ Tales of the Code: Wedlocked		Film	2008	3	03/02/2017		
Treasure Planet		Film	2002	2	04/02/2017		
Ice Age		Film	2002	4	05/02/2017		
Ice Age: The Meltdown		Film	2006	4	06/02/2017		
Ice Age: Dawn of the Dinosaurs		Film	2009	4	07/02/2017		
Ice Age: Continental Drift		Film	2012	4	08/02/2017		
Far from the Madding Crowd		Film	2015	3	08/02/2017		
Job, czyli ostatnia szara komórka		Film	2006	3	09/02/2017		
Hard Candy		Film	2005	3	10/02/2017		
Crimson Peak		Film	2015	2	11/02/2017		
Christiane F.	Christiane F. - Wir Kinder vom Bahnhof Zoo	Film	1981	3	12/02/2017		
Cruel Intentions		Film	1999	4	13/02/2017		
Cruel Intentions 2		Film	2001	4	14/02/2017		
Cruel Intentions 3		Film	2004	1	15/02/2017		
